seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc
126,600.548,0.153,52,33,29.37,0.714,0.568
109,601.08,0.186,4,2,5.073,0.982,0.972
34,0.694,0.106,0,0,1.847,1.0,1.0
231,603.401,0.231,32,18,29.916,0.922,0.885
207,601.792,0.218,122,78,97.31,0.628,0.399
206,603.846,0.239,30,16,118.992,0.922,0.888
77,600.782,0.139,36,18,29.392,0.766,0.505
119,601.32,0.192,62,31,58.941,0.714,0.584
117,19.675,0.093,0,0,11.338,1.0,1.0
76,0.822,0.071,0,0,19.079,1.0,1.0
87,601.033,0.14,80,40,51.476,0.54,
27,600.929,0.109,20,10,8.495,0.63,
280,602.658,0.158,26,12,115.092,0.957,0.927
128,524.816,0.051,0,0,28.311,1.0,1.0
65,600.709,0.084,8,4,29.063,0.938,0.9
201,603.882,0.167,108,60,104.25,0.701,0.436
96,600.615,0.093,6,4,3.565,0.958,0.938
266,600.436,0.085,90,46,165.783,0.827,0.707
68,600.616,0.166,22,12,16.398,0.824,0.757
26,0.307,0.008,0,0,1.924,1.0,1.0
46,600.512,0.167,48,27,27.379,0.413,0.062
121,108.379,0.149,0,0,21.831,1.0,1.0
63,600.448,0.159,52,24,15.976,0.619,0.446
90,3.75,0.107,0,0,7.103,1.0,1.0
64,600.477,0.15,18,10,40.878,0.844,0.769
68,0.604,0.04,0,0,3.799,1.0,1.0
117,600.778,0.152,18,10,59.903,0.915,0.866
136,8.68,0.081,0,0,14.72,1.0,1.0
75,600.537,0.134,62,29,32.338,0.693,0.513
210,601.49,0.146,94,54,114.778,0.738,0.468
319,603.399,0.167,136,69,208.066,0.818,0.664
280,602.658,0.158,26,12,115.092,0.957,0.927
70,600.436,0.132,28,14,14.665,0.8,0.724
76,600.332,0.051,36,22,25.123,0.737,0.585
86,600.309,0.123,8,6,7.027,0.942,0.912
76,600.473,0.125,36,27,39.776,0.671,0.357
256,600.925,0.025,24,12,112.603,0.945,0.914
258,604.489,0.11,84,53,96.188,0.795,0.69
14,600.754,0.007,12,6,12.345,0.571,
73,600.387,0.102,42,25,30.727,0.63,0.412
43,600.483,0.094,4,2,11.382,0.953,0.932
377,603.0,0.086,200,108,162.014,0.769,0.635
33,600.64,0.077,0,0,5.207,1.0,1.0
78,284.765,0.068,0,0,16.884,1.0,1.0
61,0.471,0.018,0,0,11.554,1.0,1.0
76,600.332,0.051,36,22,25.123,0.737,0.585
73,600.47,0.042,24,12,12.129,0.849,0.77
161,600.335,0.033,76,45,52.41,0.795,0.696
256,600.925,0.025,24,12,112.603,0.945,0.914
67,1.667,0.011,0,0,39.761,1.0,1.0
169,601.386,0.222,8,4,35.221,0.976,0.963
46,600.67,0.161,4,2,12.344,0.957,0.93
50,600.629,0.151,40,26,24.26,0.56,0.259
182,604.614,0.268,4,2,40.604,0.989,0.983
38,0.717,0.105,0,0,0.697,1.0,1.0
75,2.872,0.108,0,0,24.855,1.0,1.0
128,601.033,0.158,40,18,49.813,0.859,0.808
369,603.789,0.228,200,121,167.247,0.691,0.517
73,600.971,0.147,8,4,27.013,0.945,0.917
155,600.46,0.103,48,28,91.34,0.806,0.605
49,601.204,0.16,4,2,9.059,0.959,0.941
24,601.077,0.139,12,6,7.975,0.75,
104,25.715,0.057,0,0,13.268,1.0,1.0
119,600.803,0.09,38,20,38.815,0.832,0.759
100,601.534,0.154,8,4,27.311,0.96,0.941
363,600.511,0.092,202,119,191.308,0.669,0.353
392,600.586,0.084,238,150,182.718,0.643,0.479
75,600.573,0.137,42,24,21.795,0.667,0.491
104,2.104,0.01,0,0,5.67,1.0,1.0
29,600.621,0.161,4,2,2.054,0.931,0.898
192,600.584,0.212,126,72,86.233,0.62,0.422
123,133.626,0.186,0,0,24.521,1.0,1.0
154,601.625,0.22,52,26,72.412,0.844,0.739
23,600.725,0.193,4,2,0.109,0.913,0.871
102,8.279,0.106,0,0,27.294,1.0,1.0
75,0.606,0.035,0,0,29.44,1.0,1.0
120,40.202,0.105,0,0,13.536,1.0,1.0
299,605.015,0.201,16,8,171.042,0.973,0.961
102,600.982,0.175,4,2,19.662,0.98,0.97
70,600.437,0.147,20,9,33.571,0.857,0.741
119,600.716,0.164,56,26,47.342,0.815,0.735
114,52.284,0.085,0,0,26.037,1.0,1.0
23,601.226,0.157,4,2,1.874,0.913,0.875
155,600.65,0.148,6,2,33.475,0.987,0.981
377,606.33,0.142,238,123,185.967,0.7,0.525
233,602.313,0.133,66,36,56.631,0.876,0.816
76,600.341,0.124,60,34,26.056,0.526,0.276
120,19.102,0.017,0,0,34.414,1.0,1.0
33,600.539,0.108,4,2,0.391,0.939,0.911
73,0.297,0.008,0,0,23.447,1.0,1.0
363,600.511,0.092,202,119,191.308,0.669,0.353
392,600.586,0.084,238,150,182.718,0.643,0.479
34,0.46,0.008,0,0,2.418,1.0,1.0
100,600.311,0.068,24,12,22.756,0.88,0.827
29,600.596,0.06,4,2,3.99,0.931,0.902
25,601.015,0.051,12,7,6.239,0.68,0.567
280,601.581,0.044,92,50,118.314,0.818,0.688
53,600.51,0.034,4,2,11.139,0.962,0.945
35,600.909,0.025,4,2,18.007,0.943,0.912
242,600.595,0.016,160,108,128.051,0.521,0.129
64,600.734,0.183,44,18,40.406,0.734,0.578
25,604.046,0.317,0,0,3.214,1.0,1.0
89,601.056,0.149,12,6,45.263,0.933,0.896
68,600.796,0.181,12,5,7.836,0.912,0.868
256,605.77,0.245,74,39,125.613,0.887,0.82
28,0.497,0.111,0,0,0.26,1.0,1.0
49,601.074,0.193,8,4,4.133,0.918,0.884
86,601.169,0.207,28,13,15.767,0.849,0.792
139,601.224,0.211,20,10,28.686,0.928,0.897
71,20.727,0.11,0,0,2.679,1.0,1.0
70,600.74,0.131,44,21,24.673,0.7,0.58
89,601.056,0.149,12,6,45.263,0.933,0.896
68,2.004,0.075,0,0,7.497,1.0,1.0
169,601.596,0.178,10,6,36.651,0.964,0.948
68,2.004,0.075,0,0,7.497,1.0,1.0
256,605.77,0.245,74,39,125.613,0.887,0.82
299,601.276,0.131,36,18,173.241,0.94,0.912
206,602.892,0.188,60,30,129.806,0.854,0.8
110,600.901,0.159,12,6,17.765,0.945,0.919
38,0.404,0.009,0,0,0.11,1.0,1.0
75,600.522,0.178,28,19,56.472,0.76,0.05
174,601.908,0.233,34,21,63.277,0.862,0.781
76,600.659,0.198,38,25,39.805,0.697,0.427
58,559.557,0.18,0,0,3.986,1.0,1.0
56,1.28,0.078,0,0,7.157,1.0,1.0
20,0.136,0.007,0,0,1.382,1.0,1.0
118,308.708,0.143,0,0,38.572,1.0,1.0
135,600.694,0.169,16,8,32.992,0.941,0.912
377,605.201,0.209,182,112,164.681,0.7,0.534
258,604.455,0.198,70,43,91.045,0.829,0.742
30,0.642,0.038,0,0,1.218,1.0,1.0
76,600.562,0.138,8,4,26.707,0.947,0.915
154,601.527,0.167,70,41,72.175,0.675,0.458
57,0.375,0.019,0,0,9.797,1.0,1.0
117,601.092,0.148,24,12,67.037,0.897,0.843
82,600.411,0.062,62,33,32.428,0.659,0.468
97,600.968,0.13,18,9,13.648,0.897,0.845
60,600.512,0.121,8,4,48.669,0.933,
83,600.52,0.112,42,24,28.826,0.711,0.582
